dataset,metric_type,metric,horizon,tau_mgL,budget_r,model,model_key,model_label,ulsan_source_group,ulsan_value,seoul_value,delta_seoul_minus_ulsan,relative_change_pct,direction,baseline_available,improved_on_seoul
Seoul_Tancheon,alarm,recall,1,16.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.4054054054054054,0.5714285714285714,0.16602316602316602,40.952380952380956,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,1,16.0,0.1,HGBR,hgbr,HGBR,,,0.4761904761904761,,,higher_is_better,0,
Seoul_Tancheon,alarm,recall,1,16.0,0.1,Persistence,persistence,Persistence,main_alarm,0.4459459459459459,0.5714285714285714,0.1254826254826255,28.138528138528148,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,1,17.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.2,0.2222222222222222,0.0222222222222222,11.111111111111098,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,1,17.0,0.05,HGBR,hgbr,HGBR,,,0.3333333333333333,,,higher_is_better,0,
Seoul_Tancheon,alarm,recall,1,17.0,0.05,Persistence,persistence,Persistence,main_alarm,0.3,0.3333333333333333,0.033333333333333326,11.111111111111109,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,1,17.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.4,0.5555555555555556,0.15555555555555556,38.888888888888886,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,1,17.0,0.1,HGBR,hgbr,HGBR,,,0.4444444444444444,,,higher_is_better,0,
Seoul_Tancheon,alarm,recall,1,17.0,0.1,Persistence,persistence,Persistence,main_alarm,0.4333333333333333,0.4444444444444444,0.011111111111111127,2.564102564102568,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,15.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.1642857142857142,0.2753623188405797,0.11107660455486551,67.61184625078774,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,15.0,0.05,HGBR,hgbr,HGBR,,,0.2318840579710145,,,higher_is_better,0,
Seoul_Tancheon,alarm,recall,3,15.0,0.05,Persistence,persistence,Persistence,main_alarm,0.1428571428571428,0.217391304347826,0.0745341614906832,52.173913043478265,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,15.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.2214285714285714,0.5362318840579711,0.31480331262939965,142.16923796166438,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,15.0,0.1,HGBR,hgbr,HGBR,,,0.391304347826087,,,higher_is_better,0,
Seoul_Tancheon,alarm,recall,3,15.0,0.1,Persistence,persistence,Persistence,main_alarm,0.2642857142857143,0.3623188405797101,0.0980331262939958,37.093615354484896,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,16.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.1780821917808219,0.3333333333333333,0.1552511415525114,87.17948717948718,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,16.0,0.05,HGBR,hgbr,HGBR,,,0.3809523809523809,,,higher_is_better,0,
Seoul_Tancheon,alarm,recall,3,16.0,0.05,Persistence,persistence,Persistence,main_alarm,0.1506849315068493,0.2857142857142857,0.1350293542074364,89.61038961038962,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,16.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.2465753424657534,0.7142857142857143,0.4677103718199609,189.68253968253973,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,16.0,0.1,HGBR,hgbr,HGBR,,,0.5238095238095238,,,higher_is_better,0,
Seoul_Tancheon,alarm,recall,3,16.0,0.1,Persistence,persistence,Persistence,main_alarm,0.2876712328767123,0.3809523809523809,0.09328114807566856,32.42630385487526,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,17.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.2413793103448276,0.4444444444444444,0.20306513409961682,84.1269841269841,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,17.0,0.05,HGBR,hgbr,HGBR,,,0.5555555555555556,,,higher_is_better,0,
Seoul_Tancheon,alarm,recall,3,17.0,0.05,Persistence,persistence,Persistence,main_alarm,0.1034482758620689,0.3333333333333333,0.22988505747126442,222.22222222222243,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,17.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.3103448275862069,0.5555555555555556,0.24521072796934867,79.01234567901234,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,3,17.0,0.1,HGBR,hgbr,HGBR,,,0.7777777777777778,,,higher_is_better,0,
