model,model_full_name,source_group,horizon,tau_mgL,budget_r,precision,recall,TP,events,k,source_file,rank_recall,rank_precision
tcn,TCN risk score model,hybrid_rank_v2_guarded,5,15,0.1,0.3866666666666666,0.2164179104477611,29,134,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,4,4
hybrid_paper_fixed,Hybrid rank ensemble (paper-fixed weights),hybrid_rank_v2_guarded,5,15,0.1,0.36,0.2014925373134328,27,134,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,5,5
hybrid_paper_fixed,Hybrid rank ensemble (paper-fixed weights),hybrid_rank_v2_guarded,5,16,0.05,0.4473684210526316,0.2394366197183098,17,71,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,1,1
hybrid_rank_v2,Hybrid rank ensemble v2 (policy-based),hybrid_rank_v2_guarded,5,16,0.05,0.4473684210526316,0.2394366197183098,17,71,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,1,1
persistence,Persistence baseline (carry-forward),hybrid_rank_v2_guarded,5,16,0.05,0.3947368421052631,0.2112676056338028,15,71,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,2,2
tcn,TCN risk score model,hybrid_rank_v2_guarded,5,16,0.05,0.3947368421052631,0.2112676056338028,15,71,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,2,2
hgbr,Histogram Gradient Boosting Regressor (Optuna-tuned),hybrid_rank_v2_guarded,5,16,0.05,0.3684210526315789,0.1971830985915492,14,71,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,3,3
enet,ElasticNet (generic),hybrid_rank_v2_guarded,5,16,0.05,0.2105263157894736,0.1126760563380281,8,71,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,4,4
hybrid_rank_v2,Hybrid rank ensemble v2 (policy-based),hybrid_rank_v2_guarded,5,16,0.1,0.3466666666666667,0.3661971830985915,26,71,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,1,1
persistence,Persistence baseline (carry-forward),hybrid_rank_v2_guarded,5,16,0.1,0.3066666666666666,0.323943661971831,23,71,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,2,2
hgbr,Histogram Gradient Boosting Regressor (Optuna-tuned),hybrid_rank_v2_guarded,5,16,0.1,0.2933333333333333,0.3098591549295774,22,71,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,3,3
hybrid_paper_fixed,Hybrid rank ensemble (paper-fixed weights),hybrid_rank_v2_guarded,5,16,0.1,0.28,0.2957746478873239,21,71,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,4,4
enet,ElasticNet (generic),hybrid_rank_v2_guarded,5,16,0.1,0.2533333333333333,0.2676056338028169,19,71,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,5,5
tcn,TCN risk score model,hybrid_rank_v2_guarded,5,16,0.1,0.24,0.2535211267605634,18,71,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,6,6
persistence,Persistence baseline (carry-forward),main_alarm,1,15,0.05,0.7692307692307693,0.2127659574468085,30,141,39,results/metrics/alarm_budget_H1.csv,1,1
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,1,15,0.05,0.6923076923076923,0.1914893617021276,27,141,39,results/metrics/alarm_budget_H1.csv,2,2
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,1,15,0.05,0.6923076923076923,0.1914893617021276,27,141,39,results/metrics/alarm_budget_H1.csv,2,2
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,1,15,0.05,0.6666666666666666,0.1843971631205673,26,141,39,results/metrics/alarm_budget_H1.csv,3,3
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,1,15,0.05,0.6410256410256411,0.1773049645390071,25,141,39,results/metrics/alarm_budget_H1.csv,4,4
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,1,15,0.05,0.6410256410256411,0.1773049645390071,25,141,39,results/metrics/alarm_budget_H1.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,1,15,0.05,0.5897435897435898,0.1631205673758865,23,141,39,results/metrics/alarm_budget_H1.csv,5,5
persistence,Persistence baseline (carry-forward),main_alarm,1,15,0.1,0.6493506493506493,0.3546099290780142,50,141,77,results/metrics/alarm_budget_H1.csv,1,1
